Date,CRUDE,GOLD,Close
02-Nov-15,3044.76,2646.83,8050.8
04-Nov-15,3122.3,2592.22,8040.2
05-Nov-15,3051.34,2581.72,7955.45
06-Nov-15,2983.01,2566.81,7954.3
09-Nov-15,2960.77,2569.78,7915.2
10-Nov-15,2941.8,2562.44,7783.35
11-Nov-15,2899.58,2550.64,7825
13-Nov-15,2747.07,2540.91,7762.25
16-Nov-15,2720.48,2555.06,7806.6
17-Nov-15,2741.9,2519.41,7837.55
18-Nov-15,2726.36,2509.33,7731.8
19-Nov-15,2724.24,2525.88,7842.75
20-Nov-15,2793.1,2535.82,7856.55
23-Nov-15,2781.4,2516.42,7849.25
24-Nov-15,2850.85,2527.46,7831.6
27-Nov-15,2836.64,2516.96,7942.7
30-Nov-15,2822.84,2507.91,7935.25
01-Dec-15,2794.36,2533.49,7954.9
02-Dec-15,2758.77,2519.37,7931.35
03-Dec-15,2734.01,2507.41,7864.15
04-Dec-15,2740.66,2545.18,7781.9
07-Dec-15,2604.18,2562.88,7765.4
08-Dec-15,2529.23,2548.36,7701.7
09-Dec-15,2554.12,2558.87,7612.5
10-Dec-15,2487.56,2546.33,7683.3
11-Dec-15,2439.12,2546.4,7610.45
14-Dec-15,2402.59,2548.29,7650.05
15-Dec-15,2479.75,2530.19,7700.9
16-Dec-15,2455.64,2535.64,7750.9
17-Dec-15,2359.49,2503.3,7844.35
18-Dec-15,2369.85,2499.72,7761.95
21-Dec-15,2390.7,2525.61,7834.45
22-Dec-15,2415.42,2531.99,7786.1
23-Dec-15,2474.52,2515.19,7865.95
29-Dec-15,2496.31,2519.95,7928.95
30-Dec-15,2462.83,2509.12,7896.25
04-Jan-16,2504.76,2531.49,7791.3
05-Jan-16,2445.32,2541.04,7784.65
06-Jan-16,2350.55,2563.48,7741
07-Jan-16,2229.6,2598.61,7568.3
08-Jan-16,2247.16,2593.81,7601.35
12-Jan-16,2091.43,2578.58,7510.3
13-Jan-16,2080.84,2562.15,7562.4
14-Jan-16,2100.12,2586,7536.8
19-Jan-16,2031.35,2597.65,7435.1
20-Jan-16,1965.15,2635.41,7309.3
21-Jan-16,1971.54,2633.1,7276.8
22-Jan-16,2122.23,2618,7422.45
25-Jan-16,2144.24,2635.96,7436.15
27-Jan-16,2142.42,2674.71,7437.75
28-Jan-16,2266.03,2675.92,7424.65
29-Jan-16,2298.59,2661.82,7563.55
01-Feb-16,2223.19,2684.77,7555.95
02-Feb-16,2094.78,2696.08,7455.55
03-Feb-16,2104.86,2713.19,7361.8
04-Feb-16,2217.39,2732.5,7404
05-Feb-16,2163.66,2744.22,7489.1
16-Feb-16,2069.61,2881.86,7048.25
17-Feb-16,2071.87,2888.1,7108.45
18-Feb-16,2170.34,2896.96,7191.75
19-Feb-16,2127.52,2946.92,7210.75
22-Feb-16,2296.15,2898.52,7234.55
23-Feb-16,2262.13,2924.34,7109.55
24-Feb-16,2167.48,2959.42,7018.7
25-Feb-16,2208.71,2962.99,6970.6
26-Feb-16,2334.16,2949.68,7029.75
29-Feb-16,2283.96,2958.56,6987.05
01-Mar-16,2333.14,2955.63,7222.3
02-Mar-16,2326.41,2922.09,7368.85
03-Mar-16,2349.02,2942.99,7475.6
04-Mar-16,2368.62,2980.02,7485.35
08-Mar-16,2536.74,3000.07,7485.3
09-Mar-16,2526.84,2955.35,7531.8
10-Mar-16,2555.26,2949.8,7486.15
11-Mar-16,2603.37,2971.49,7510.2
14-Mar-16,2525.95,2941.07,7538.75
15-Mar-16,2467.01,2905.75,7460.6
16-Mar-16,2534.06,2904.12,7498.75
17-Mar-16,2646.54,2948.13,7512.55
18-Mar-16,2729.9,2923.89,7604.35
22-Mar-16,2770.41,2915.4,7714.9
23-Mar-16,2731.05,2874.5,7716.5
29-Mar-16,2586.35,2857.54,7597
30-Mar-16,2597.9,2866.88,7735.2
31-Mar-16,2552.24,2863.55,7738.4
01-Apr-16,2501.87,2860.3,7713.05
05-Apr-16,2380.26,2875.35,7603.2
06-Apr-16,2487.83,2870.64,7614.35
07-Apr-16,2507.39,2894,7546.45
08-Apr-16,2608.95,2898.11,7555.2
11-Apr-16,2667.58,2927.39,7671.4
12-Apr-16,2731.64,2936.85,7708.95
13-Apr-16,2784.89,2916.99,7850.45
18-Apr-16,2630.24,2906.82,7914.7
20-Apr-16,2824.42,2929.31,7914.75
21-Apr-16,2927.27,2948.7,7912.05
22-Apr-16,2931.9,2927.27,7899.3
25-Apr-16,2906.65,2918.62,7855.05
26-Apr-16,2900.02,2915.51,7962.65
27-Apr-16,2980.56,2934.19,7979.9
28-Apr-16,3032.83,2954.98,7847.25
06-May-16,2957.71,3024.1,7733.45
09-May-16,2977.08,2998.6,7866.05
10-May-16,2932.9,2976.74,7887.8
11-May-16,3006.05,2998.19,7848.85
12-May-16,3096.85,2989.12,7900.4
13-May-16,3090.01,2994.68,7814.9
16-May-16,3168.32,3013.45,7860.75
17-May-16,3212.96,3001.62,7890.75
18-May-16,3255,3001.28,7870.15
19-May-16,3210.44,2974.38,7783.4
20-May-16,3294.56,2978.1,7749.7
23-May-16,3243.88,2967.13,7731.05
24-May-16,3283.76,2951.58,7748.85
25-May-16,3322.88,2903.26,7934.9
26-May-16,3346.27,2897.26,8069.65
27-May-16,3298.69,2871.84,8156.65
31-May-16,3345.53,2878.8,8160.1
01-Jun-16,3283.3,2899.03,8179.95
02-Jun-16,3292.84,2893.05,8218.95
03-Jun-16,3286.01,2920.44,8220.8
06-Jun-16,3312.24,2943.34,8201.05
07-Jun-16,3342.18,2931.82,8266.45
08-Jun-16,3394.15,2957.01,8273.05
13-Jun-16,3271.69,3036.66,8110.6
14-Jun-16,3255.37,3044.3,8108.85
15-Jun-16,3233.52,3042.32,8206.6
16-Jun-16,3162.84,3097.42,8140.75
17-Jun-16,3171.2,3047.23,8170.2
20-Jun-16,3315.67,3052.89,8238.5
21-Jun-16,3350.53,3041.41,8219.9
22-Jun-16,3371.99,3015.33,8203.7
23-Jun-16,3351.21,2999.54,8270.45
24-Jun-16,3261.99,3153.88,8088.6
27-Jun-16,3202.34,3160.06,8094.7
28-Jun-16,3224.76,3129.62,8127.85
29-Jun-16,3299.59,3135.44,8204
30-Jun-16,3319.56,3121.76,8287.75
01-Jul-16,3264.38,3151.16,8328.35
04-Jul-16,3303.38,3180.18,8370.7
05-Jul-16,3203.86,3177.93,8335.95
07-Jul-16,3172.99,3198.2,8337.9
08-Jul-16,3064.73,3168.46,8323.2
11-Jul-16,3035.09,3170.27,8467.9
12-Jul-16,3083.02,3137.69,8521.05
13-Jul-16,3071.89,3124.92,8519.5
14-Jul-16,3042.7,3095.36,8565
15-Jul-16,3072.06,3099.96,8541.4
18-Jul-16,3059.97,3101.59,8508.7
19-Jul-16,3051.62,3106.16,8528.55
20-Jul-16,3073.29,3090.22,8565.85
21-Jul-16,3073.91,3086.37,8510.1
22-Jul-16,2999.89,3090.78,8541.2
25-Jul-16,2956.05,3082.15,8635.65
26-Jul-16,2905.69,3090.93,8590.65
27-Jul-16,2875.03,3092.62,8615.8
28-Jul-16,2812.99,3126.57,8666.3
29-Jul-16,2760.6,3132.87,8638.5
01-Aug-16,2744.46,3151.43,8636.55
03-Aug-16,2692.13,3181.7,8544.85
04-Aug-16,2759.75,3172.35,8551.1
05-Aug-16,2790.11,3150.29,8683.15
08-Aug-16,2857.15,3113.35,8711.35
10-Aug-16,2845.55,3146.09,8575.3
12-Aug-16,2940.28,3133.28,8672.15
16-Aug-16,3077.24,3142.34,8642.55
17-Aug-16,3108.71,3136.43,8624.05
18-Aug-16,3181.03,3145.93,8673.25
19-Aug-16,3253.68,3142.28,8666.9
22-Aug-16,3236.92,3130.1,8629.15
23-Aug-16,3190.82,3136.17,8632.6
24-Aug-16,3175.4,3120.61,8650.3
25-Aug-16,3153.98,3096.94,8592.2
26-Aug-16,3195.2,3108.06,8572.55
30-Aug-16,3157.19,3094.4,8744.35
31-Aug-16,3062.76,3077.25,8786.2
01-Sep-16,2969.71,3073.75,8774.65
02-Sep-16,2941.18,3087.23,8809.65
06-Sep-16,2973.38,3111.57,8943
07-Sep-16,3000.44,3135.57,8917.95
08-Sep-16,3107.42,3130.2,8952.5
09-Sep-16,3120.44,3121.86,8866.7
14-Sep-16,2982.11,3105.32,8726.6
20-Sep-16,2947.09,3095.23,8775.9
21-Sep-16,3036.99,3111.63,8777.15
23-Sep-16,3057.58,3128.66,8831.55
26-Sep-16,3034.32,3130.22,8723.05
27-Sep-16,3005.21,3112.14,8706.4
28-Sep-16,3018.27,3097.25,8745.15
29-Sep-16,3170.81,3109.88,8591.25
30-Sep-16,3191.34,3112.26,8611.15
13-Oct-16,3351.49,2979.5,8573.35
14-Oct-16,3377.32,2963.12,8583.4
17-Oct-16,3344.42,2967.28,8520.4
18-Oct-16,3352.24,2977.07,8677.9
19-Oct-16,3433.8,2988.85,8659.1
20-Oct-16,3422.79,2996.1,8699.4
24-Oct-16,3377.88,2981.19,8708.95
25-Oct-16,3378.06,2986.3,8691.3
26-Oct-16,3314.63,2991.27,8615.25
27-Oct-16,3323.16,2990.12,8615.25
28-Oct-16,3307.78,2992.27,8638
01-Nov-16,3138.77,3017.81,8626.25
02-Nov-16,3057.37,3049.41,8514
04-Nov-16,2967.2,3052.03,8433.75
07-Nov-16,2984.87,3018.81,8497.05
08-Nov-16,2997.6,3004.22,8543.55
09-Nov-16,2984.68,3060.34,8432
10-Nov-16,3012.91,2999.81,8525.75
11-Nov-16,2972.24,2966.36,8296.3
15-Nov-16,3038.22,2931.38,8108.45
16-Nov-16,3112.2,2937.38,8111.6
17-Nov-16,3123.49,2928.94,8079.95
18-Nov-16,3098.76,2890.93,8074.1
21-Nov-16,3252.38,2907.84,7929.1
22-Nov-16,3308.37,2916.24,8002.3
25-Nov-16,3241.5,2853.58,8114.3
28-Nov-16,3205.38,2874.93,8126.9
29-Nov-16,3162.25,2863.78,8142.15
