Date,CNY,SGD,SPF,Maxc,Minc,Avgc,PLR,Close
02-Nov-15,10.35,46.93,2104.05,8060.7,7995.6,7987.45,-0.00186,8050.8
04-Nov-15,10.36,46.75,2102.31,8116.1,8027.3,7969.8,-0.00132,8040.2
05-Nov-15,10.38,46.81,2099.93,8031.2,7944.1,7882.75,-0.0106,7955.45
06-Nov-15,10.41,46.54,2099.2,8002.65,7926.15,7875.78,-0.00014,7954.3
09-Nov-15,10.45,46.71,2078.58,7937.75,7771.7,7771.48,-0.00493,7915.2
10-Nov-15,10.41,46.55,2081.72,7885.1,7772.85,7737.85,-0.0168,7783.35
11-Nov-15,10.38,46.53,2075,7847.95,7819.1,7755.53,0.00534,7825
13-Nov-15,10.36,46.39,2023.04,7775.1,7730.9,7716.98,-0.00805,7762.25
16-Nov-15,10.34,46.31,2053.19,7838.85,7714.15,7689.05,0.0057,7806.6
17-Nov-15,10.34,46.33,2050.44,7860.45,7793,7749,0.00396,7837.55
18-Nov-15,10.34,46.46,2083.58,7843.4,7725.05,7750.83,-0.01358,7731.8
19-Nov-15,10.35,46.77,2081.24,7854.9,7765.45,7809.18,0.01425,7842.75
20-Nov-15,10.35,46.75,2089.17,7906.95,7817.8,7826.98,0.00176,7856.55
23-Nov-15,10.39,46.85,2086.59,7877.5,7825.2,7832.98,-0.00093,7849.25
24-Nov-15,10.37,46.98,2089.14,7870.35,7812.65,7829.48,-0.00225,7831.6
27-Nov-15,10.46,47.33,2090.11,7959.3,7879.45,7875.45,0.01409,7942.7
30-Nov-15,10.39,47.11,2080.41,7966,7922.8,7932.48,-0.00094,7935.25
01-Dec-15,10.38,47.25,2102.63,7972.15,7934.15,7939.45,0.00247,7954.9
02-Dec-15,10.41,47.17,2079.51,7979.3,7910.8,7924.18,-0.00296,7931.35
03-Dec-15,10.44,47.89,2049.62,7912.3,7853.3,7842.25,-0.00851,7864.15
04-Dec-15,10.41,47.68,2091.69,7821.4,7775.7,7788.33,-0.01051,7781.9
07-Dec-15,10.42,47.48,2077.07,7825.4,7746.05,7710.5,-0.00212,7765.4
08-Dec-15,10.42,47.46,2063.59,7771.25,7685.45,7659.78,-0.00824,7701.7
09-Dec-15,10.4,47.6,2047.62,7702.85,7606.9,7597.6,-0.01165,7612.5
10-Dec-15,10.37,47.56,2052.23,7691.95,7610,7600.48,0.00926,7683.3
11-Dec-15,10.4,47.52,2012.37,7703.05,7575.3,7590.05,-0.00953,7610.45
14-Dec-15,10.39,47.62,2021.94,7663.95,7551.05,7506.9,0.00519,7650.05
15-Dec-15,10.35,47.54,2043.41,7705,7625.1,7548,0.00663,7700.9
16-Dec-15,10.27,47.25,2073.07,7776.6,7715.75,7557.23,0.00647,7750.9
17-Dec-15,10.24,46.82,2041.89,7852.9,7737.55,7585.48,0.01198,7844.35
18-Dec-15,10.22,46.9,2005.55,7836.15,7753.35,7620.25,-0.01056,7761.95
21-Dec-15,10.22,47.04,2021.15,7840.75,7733.45,7605.68,0.0093,7834.45
22-Dec-15,10.22,47.17,2038.97,7846.3,7776.85,7622.85,-0.00619,7786.1
23-Dec-15,10.19,47.02,2064.29,7871.45,7826.1,7700.88,0.0102,7865.95
29-Dec-15,10.21,46.88,2078.36,7942.15,7902.75,7751.6,0.00798,7928.95
30-Dec-15,10.24,47,2063.36,7944.75,7889.85,7733.08,-0.00413,7896.25
04-Jan-16,10.19,46.75,2012.66,7937.55,7781.1,7600.25,-0.01338,7791.3
05-Jan-16,10.19,46.64,2016.71,7831.2,7763.25,7610.15,-0.00085,7784.65
06-Jan-16,10.17,46.44,1990.26,7800.95,7721.2,7612.18,-0.00562,7741
07-Jan-16,10.15,46.66,1943.09,7674.95,7556.6,7380.63,-0.02256,7568.3
08-Jan-16,10.13,46.33,1922.03,7634.1,7581.05,7352.38,0.00436,7601.35
12-Jan-16,10.19,46.55,1938.68,7588.3,7487.8,7351.45,-0.01205,7510.3
13-Jan-16,10.18,46.58,1890.28,7590.95,7425.8,7326.33,0.00691,7562.4
14-Jan-16,10.21,46.85,1921.84,7604.8,7443.8,7348.1,-0.00339,7536.8
19-Jan-16,10.3,47.13,1881.33,7462.75,7364.15,7302.93,-0.01359,7435.1
20-Jan-16,10.33,47.27,1859.33,7470.9,7241.5,7166.15,-0.01706,7309.3
21-Jan-16,10.3,47.34,1868.99,7398.7,7250,7142.1,-0.00446,7276.8
22-Jan-16,10.27,47.24,1906.9,7433.4,7327.6,7190.25,0.01982,7422.45
25-Jan-16,10.3,47.37,1877.08,7487.15,7421.2,7257.9,0.00184,7436.15
27-Jan-16,10.36,47.58,1882.95,7477.9,7419.7,7327.6,0.00022,7437.75
28-Jan-16,10.35,47.66,1893.36,7468.85,7409.6,7394.98,-0.00176,7424.65
29-Jan-16,10.32,47.66,1940.24,7575.65,7402.8,7443.38,0.01854,7563.55
01-Feb-16,10.31,47.68,1939.38,7600.45,7541.25,7523.58,-0.00101,7555.95
02-Feb-16,10.33,47.6,1903.03,7576.3,7428.05,7477.6,-0.01338,7455.55
03-Feb-16,10.33,48.05,1912.53,7419.4,7350.3,7444.65,-0.01265,7361.8
04-Feb-16,10.29,48.33,1915.45,7457.05,7365.95,7456.53,0.00572,7404
05-Feb-16,10.32,48.2,1880.05,7503.15,7406.65,7475.3,0.01143,7489.1
16-Feb-16,10.51,48.74,1895.58,7204.65,7037.7,7310.7,-0.06067,7048.25
17-Feb-16,10.47,48.69,1926.82,7123.7,6960.65,7252.93,0.0085,7108.45
18-Feb-16,10.51,48.87,1917.83,7215.1,7127.85,7317.93,0.01165,7191.75
19-Feb-16,10.51,48.78,1917.78,7226.85,7145.95,7365.63,0.00264,7210.75
22-Feb-16,10.51,48.97,1945.5,7252.4,7200.7,7407.15,0.0033,7234.55
23-Feb-16,10.5,48.72,1921.27,7241.7,7090.7,7409.45,-0.01743,7109.55
24-Feb-16,10.48,48.69,1929.8,7090.8,7009.75,7368.3,-0.01286,7018.7
25-Feb-16,10.53,49.05,1951.7,7034.2,6961.4,7307.15,-0.00688,6970.6
26-Feb-16,10.51,48.85,1948.05,7052.9,6985.1,7363.53,0.00845,7029.75
29-Feb-16,10.41,48.49,1932.23,7094.6,6825.8,7301.7,-0.00609,6987.05
01-Mar-16,10.34,48.37,1978.35,7235.5,7035.1,7387.63,0.03312,7222.3
02-Mar-16,10.29,48.25,1986.45,7380.35,7308.15,7522.23,0.02009,7368.85
03-Mar-16,10.28,48.33,1993.4,7483.95,7406.05,7522.35,0.01438,7475.6
04-Mar-16,10.29,48.69,1999.99,7505.9,7444.1,7537.43,0.0013,7485.35
08-Mar-16,10.35,48.6,1979.26,7527.15,7442.15,7505.75,-0.00001,7485.3
09-Mar-16,10.31,48.59,1989.26,7539,7424.3,7551.55,0.00619,7531.8
10-Mar-16,10.34,48.76,1989.57,7547.1,7447.4,7582.4,-0.00608,7486.15
11-Mar-16,10.3,48.73,2022.19,7543.95,7460.6,7662.7,0.00321,7510.2
14-Mar-16,10.33,48.78,2019.64,7583.7,7515.05,7717.83,0.00379,7538.75
15-Mar-16,10.34,48.75,2015.93,7545.2,7452.8,7701.6,-0.01042,7460.6
