Date,Close,USD,CRUDE,GOLD,Up-Down
16-Nov-15,7806.6,65.88600101,2720.476083,2555.055049,1
17-Nov-15,7837.55,65.9810009,2741.896335,2519.405723,1
18-Nov-15,7731.8,66.03300078,2726.358987,2509.334725,0
19-Nov-15,7842.75,66.09000057,2724.235882,2525.883996,1
20-Nov-15,7856.55,66.05799945,2793.100289,2535.824866,1
23-Nov-15,7849.25,66.39500046,2781.402157,2516.419638,0
24-Nov-15,7831.6,66.26200021,2850.853099,2527.460862,0
26-Nov-15,7883.8,66.56499972,2872.913785,2531.094496,1
27-Nov-15,7942.7,66.90700107,2836.640502,2516.96434,1
30-Nov-15,7935.25,66.46199916,2822.835375,2507.912464,0
01-Dec-15,7954.9,66.43400151,2794.364891,2533.486356,1
02-Dec-15,7931.35,66.59100153,2758.769056,2519.367639,0
03-Dec-15,7864.15,66.79000108,2734.007017,2507.409395,0
04-Dec-15,7781.9,66.64299952,2740.659491,2545.183368,0
07-Dec-15,7765.4,66.77300044,2604.183772,2562.880267,0
08-Dec-15,7701.7,66.85699963,2529.233087,2548.355037,0
09-Dec-15,7612.5,66.85500166,2554.120004,2558.873277,0
10-Dec-15,7683.3,66.75599955,2487.562306,2546.330483,1
11-Dec-15,7610.45,67.14800145,2439.119096,2546.395323,0
14-Dec-15,7650.05,67.09299794,2402.587656,2548.290097,1
15-Dec-15,7700.9,66.86299872,2479.750596,2530.185108,1
16-Dec-15,7750.9,66.4760002,2455.636306,2535.638398,1
17-Dec-15,7844.35,66.42100195,2359.493929,2503.298095,1
18-Dec-15,7761.95,66.25499786,2369.84846,2499.718782,0
21-Dec-15,7834.45,66.25099907,2390.704373,2525.609682,1
22-Dec-15,7786.1,66.24399904,2415.422607,2531.991715,0
23-Dec-15,7865.95,66.03699947,2474.516081,2515.191758,1
24-Dec-15,7861.05,65.94700024,2519.013332,2517.401538,0
28-Dec-15,7925.15,66.13700187,2474.302809,2515.22339,1
29-Dec-15,7928.95,66.23499993,2496.313906,2519.951718,1
30-Dec-15,7896.25,66.47500151,2462.83106,2509.120654,0
31-Dec-15,7946.35,66.20799971,2456.284298,2493.063052,1
01-Jan-16,7963.2,66.23499993,2483.568794,2497.090889,1
04-Jan-16,7791.3,66.57899988,2504.76255,2531.491757,0
05-Jan-16,7784.65,66.48099853,2445.324947,2541.03776,0
06-Jan-16,7741,66.69800139,2350.548065,2563.484699,0
07-Jan-16,7568.3,66.89100125,2229.599418,2598.610783,0
08-Jan-16,7601.35,66.84700205,2247.157121,2593.811684,1
11-Jan-16,7563.85,66.7600016,2173.536165,2599.056542,0
12-Jan-16,7510.3,66.94600109,2091.430424,2578.575646,0
13-Jan-16,7562.4,66.9169987,2080.837705,2562.151387,1
14-Jan-16,7536.8,67.3160013,2100.120202,2585.997342,0
15-Jan-16,7437.8,67.77500028,2032.118534,2597.240691,0
18-Jan-16,7351,67.66099918,1993.404825,2604.112414,0
19-Jan-16,7435.1,67.73400099,2031.347819,2597.652242,1
20-Jan-16,7309.3,67.95800005,1965.147618,2635.414169,0
