Date,USD,CRUDE,GOLD,Open,High,Low,Close,10DMA,EMA
16-Nov-15,65.88600101,2720.476083,2555.055049,7732.95,7838.85,7714.15,7806.6,7915.385,7915.385
17-Nov-15,65.9810009,2741.896335,2519.405723,7848.75,7860.45,7793,7837.55,7894.06,7901.233182
18-Nov-15,66.03300078,2726.358987,2509.334725,7823.15,7843.4,7725.05,7731.8,7861.17,7870.427149
19-Nov-15,66.09000057,2724.235882,2525.883996,7788.5,7854.9,7765.45,7842.75,7841.425,7865.39494
20-Nov-15,66.05799945,2793.100289,2535.824866,7841.9,7906.95,7817.8,7856.55,7831.535,7863.786769
23-Nov-15,66.39500046,2781.402157,2516.419638,7869.5,7877.5,7825.2,7849.25,7821.03,7861.14372
24-Nov-15,66.26200021,2850.853099,2527.460862,7837,7870.35,7812.65,7831.6,7812.67,7855.772135
26-Nov-15,66.56499972,2872.913785,2531.094496,7837.15,7897.1,7832,7883.8,7822.715,7860.86811
27-Nov-15,66.90700107,2836.640502,2516.96434,7910.6,7959.3,7879.45,7942.7,7834.485,7875.746636
30-Nov-15,66.46199916,2822.835375,2507.912464,7936.25,7966,7922.8,7935.25,7851.785,7886.565429
1-Dec-15,66.43400151,2794.364891,2533.486356,7958.15,7972.15,7934.15,7954.9,7866.615,7898.989897
2-Dec-15,66.59100153,2758.769056,2519.367639,7976.7,7979.3,7910.8,7931.35,7875.995,7904.873552
3-Dec-15,66.79000108,2734.007017,2507.409395,7902.3,7912.3,7853.3,7864.15,7889.23,7897.46927
4-Dec-15,66.64299952,2740.659491,2545.183368,7817.6,7821.4,7775.7,7781.9,7883.145,7876.456675
7-Dec-15,66.77300044,2604.183772,2562.880267,7816.55,7825.4,7746.05,7765.4,7874.03,7856.264552
8-Dec-15,66.85699963,2529.233087,2548.355037,7738.5,7771.25,7685.45,7701.7,7859.275,7828.161906
9-Dec-15,66.85500166,2554.120004,2558.873277,7695.5,7702.85,7606.9,7612.5,7837.365,7788.950651
10-Dec-15,66.75599955,2487.562306,2546.330483,7643.3,7691.95,7610,7683.3,7817.315,7769.741442
11-Dec-15,67.14800145,2439.119096,2546.395323,7699.6,7703.05,7575.3,7610.45,7784.09,7740.779361
14-Dec-15,67.09299794,2402.587656,2548.290097,7558.2,7663.95,7551.05,7650.05,7755.57,7724.283114
15-Dec-15,66.86299872,2479.750596,2530.185108,7659.15,7705,7625.1,7700.9,7730.17,7720.031639
16-Dec-15,66.4760002,2455.636306,2535.638398,7725.25,7776.6,7715.75,7750.9,7712.125,7725.644068
17-Dec-15,66.42100195,2359.493929,2503.298095,7783.05,7852.9,7737.55,7844.35,7710.145,7747.226965
18-Dec-15,66.25499786,2369.84846,2499.718782,7828.9,7836.15,7753.35,7761.95,7708.15,7749.90388
21-Dec-15,66.25099907,2390.704373,2525.609682,7745.65,7840.75,7733.45,7834.45,7715.055,7765.275902
22-Dec-15,66.24399904,2415.422607,2531.991715,7829.4,7846.3,7776.85,7786.1,7723.495,7769.062102
23-Dec-15,66.03699947,2474.516081,2515.191758,7830.45,7871.45,7826.1,7865.95,7748.84,7786.678083
24-Dec-15,65.94700024,2519.013332,2517.401538,7888.75,7888.75,7835.5,7861.05,7766.615,7800.20025
28-Dec-15,66.13700187,2474.302809,2515.22339,7863.2,7937.2,7863,7925.15,7798.085,7822.918386
29-Dec-15,66.23499993,2496.313906,2519.951718,7929.2,7942.15,7902.75,7928.95,7825.975,7842.196861
30-Dec-15,66.47500151,2462.83106,2509.120654,7938.6,7944.75,7889.85,7896.25,7845.51,7852.024705
31-Dec-15,66.20799971,2456.284298,2493.063052,7897.8,7955.55,7891.15,7946.35,7865.055,7869.174758
1-Jan-16,66.23499993,2483.568794,2497.090889,7938.45,7972.55,7909.8,7963.2,7876.94,7886.270257
4-Jan-16,66.57899988,2504.76255,2531.491757,7924.55,7937.55,7781.1,7791.3,7879.875,7869.002938
5-Jan-16,66.48099853,2445.324947,2541.03776,7828.4,7831.2,7763.25,7784.65,7874.895,7853.66604
6-Jan-16,66.69800139,2350.548065,2563.484699,7788.05,7800.95,7721.2,7741,7870.385,7833.181305
7-Jan-16,66.89100125,2229.599418,2598.610783,7673.35,7674.95,7556.6,7568.3,7840.62,7785.021068
8-Jan-16,66.84700205,2247.157121,2593.811684,7611.65,7634.1,7581.05,7601.35,7814.65,7751.626328
11-Jan-16,66.7600016,2173.536165,2599.056542,7527.45,7605.1,7494.35,7563.85,7778.52,7717.485178
12-Jan-16,66.94600109,2091.430424,2578.575646,7587.2,7588.3,7487.8,7510.3,7736.655,7679.815145
13-Jan-16,66.9169987,2080.837705,2562.151387,7557.9,7590.95,7425.8,7562.4,7703.27,7658.466937
14-Jan-16,67.3160013,2100.120202,2585.997342,7467.4,7604.8,7443.8,7536.8,7662.315,7636.345676
15-Jan-16,67.77500028,2032.118534,2597.240691,7561.65,7566.5,7427.3,7437.8,7609.775,7600.246462
18-Jan-16,67.66099918,1993.404825,2604.112414,7420.35,7463.65,7336.4,7351,7565.745,7554.928924
19-Jan-16,67.73400099,2031.347819,2597.652242,7381.8,7462.75,7364.15,7435.1,7530.79,7533.141847
20-Jan-16,67.95800005,1965.147618,2635.414169,7357,7470.9,7241.5,7309.3,7487.62,7492.443329
