Date,USD,Euro,GBP,JPY,CNY,HKD,SGD,NIKK,SPF,STI,HSI,SSE,FTSE,CRUDE,GOLD,Maxc,Minc,Avgc,PLR,Conf,Close
02-Nov-15,65.56,72.23,101.07,0.54,10.35,8.46,46.93,18683.24,2104.05,2974.41,22370.04,3325.08,6361.8,3044.76,2646.83,8060.7,7995.6,7987.45,-0.00186,0,8050.8
04-Nov-15,65.61,71.29,100.95,0.54,10.36,8.46,46.75,18926.91,2102.31,3040.48,23053.57,3459.64,6412.9,3122.3,2592.22,8116.1,8027.3,7969.8,-0.00132,0,8040.2
05-Nov-15,65.86,71.68,100.15,0.54,10.38,8.5,46.81,19116.41,2099.93,3023.65,23051.04,3522.82,6364.9,3051.34,2581.72,8031.2,7944.1,7882.75,-0.0106,0,7955.45
06-Nov-15,66.14,71.04,99.54,0.54,10.41,8.53,46.54,19265.6,2099.2,3010.47,22867.33,3590.03,6353.8,2983.01,2566.81,8002.65,7926.15,7875.78,-0.00014,0,7954.3
09-Nov-15,66.48,71.46,100.48,0.54,10.45,8.58,46.71,19642.74,2078.58,2997.72,22726.77,3646.88,6295.2,2960.77,2569.78,7937.75,7771.7,7771.48,-0.00493,0,7915.2
10-Nov-15,66.2,70.99,100.08,0.54,10.41,8.54,46.55,19671.26,2081.72,2981.59,22401.7,3640.49,6275.3,2941.8,2562.44,7885.1,7772.85,7737.85,-0.0168,0,7783.35
11-Nov-15,66.07,70.99,100.51,0.54,10.38,8.52,46.53,19691.39,2075,2959.01,22352.17,3650.25,6297.2,2899.58,2550.64,7847.95,7819.1,7755.53,0.00534,0,7825
13-Nov-15,66.06,71.21,100.63,0.54,10.36,8.52,46.39,19697.77,2023.04,2925.68,22396.14,3580.84,6118.3,2747.07,2540.91,7775.1,7730.9,7716.98,-0.00805,0,7762.25
16-Nov-15,65.89,70.41,100.14,0.53,10.34,8.5,46.31,19596.91,2053.19,2915.73,22010.82,3606.96,6146.4,2720.48,2555.06,7838.85,7714.15,7689.05,0.0057,0,7806.6
17-Nov-15,65.98,70.23,100.39,0.53,10.34,8.51,46.33,19393.69,2050.44,2916.78,22264.25,3604.79,6268.8,2741.9,2519.41,7860.45,7793,7749,0.00396,0,7837.55
18-Nov-15,66.03,70.39,100.61,0.53,10.34,8.52,46.46,19630.63,2083.58,2886.08,22188.26,3568.47,6279,2726.36,2509.33,7843.4,7725.05,7750.83,-0.01358,0,7731.8
19-Nov-15,66.09,70.94,101.06,0.54,10.35,8.53,46.77,19649.18,2081.24,2919.83,22500.22,3617.06,6329.9,2724.24,2525.88,7854.9,7765.45,7809.18,0.01425,0,7842.75
